aama	аамп
aback	вперед-назад
aback	обратно
aback	вспять
aback	назад
aback	туда-назад
aback	туда-обратно
abacus	счеты
abacus	абак
abacus	счёты
abacuses	счет
abaddon	преисподняя
abaft	спереди-сзади
abaft	позади
abaft	сзади
abandon	бросить
abandon	оставлять
abandon	кинуть
abandon	оставить
abandon	отказываться
abandon	остать
abandon	покидать
abandon	побросать
abandon	покинуть
abandon	хватиться
abandoned	брошенный
abandoned	безудержный
abandoned	заброшенный
abandoned	несдержанный
abandoned	оставленный
abandoned	покинутый
abandoned	отказываются
abandoning	непринужденность
abandonment	запущенность
abandonment	заброшенность
abandonment	оставление
abandonment	отказ
abandonment	отрешение
abandonment	ребенка
abandonments	отказа
abandonments	отрешения
abandons	отказывается
abandons	отнекивается
abase	понижать
abase	унижать
abased	принижен
abased	приниженный
abased	унижен
abased	униженный
abasement	принижение
abasement	понижение
abasement	унижение
abasement	принижения
abasement	уничижение
abasement	унижения
abasement	уничижения
abasements	принижение
abasements	принижения
abasements	унижение
abasements	унижения
abasements	уничижение
abasements	уничижения
abases	принижает
abases	унижает
abashed	взволнованный
abashed	обескуражен
abashed	взволнованый
abashed	обескураженный
abashed	смущённый
abashed	смущен
abashed	смущенный
abashed	смятенный
abashed	смятен
abashing	волнение
abashing	обескураженности
abashing	обескураженность
abashment	волнение
abashment	обескураженности
abashment	обескураженность
abashments	волнение
abashments	обескураженности
abashments	обескураженность
abate	аннулировать
abate	ослабевать
abate	ослабить
abate	отменять
abate	ослаблять
abate	отменить
abate	понижать
abate	поубавиться
abate	прекратить
abate	прекращать
abate	пресекать
abate	пресечь
abate	приостанавливать
abate	притуплять
abate	сбавлять
abate	снижать
abate	уменьшать
abate	снизить
abate	стесывать
abate	уменьшиться
abate	уменьшаться
abate	умерять
abate	упразднить
abate	упразднять
abate	успокаиваться
abate	утихать
abated	уменьшен
abated	уменьшенный
abatement	смягчение
abatement	скидка
abatement	снижения
abatement	снижение
abatement	аннулирование
abatement	ослабление
abatement	аннулирования
abatement	понижение
abatement	отмена
abatement	послабление
abatement	понижения
abatement	послабления
abatement	прекращение
abatement	прекращения
abatement	пресечение
abatement	пресечения
abatement	преуменьшения
abatement	преуменьшение
abatement	приостановка
abatement	приостановки
abatement	приостановку
abatement	уменьшение
abatement	убавление
abatement	устранение
abatement	уменьшения
abatements	уменьшения
abatements	преуменьшение
abatements	преуменьшения
abatements	убавление
abatements	снижение
abatements	уменьшение
abates	приуменьшается
abates	убавляется
abates	уменьшается
abates	умеряется
abating	преуменьшение
abating	снижение
abating	преуменьшения
abating	уменьшение
abating	убавление
abating	уменьшения
abatis	завал
abatis	засека
abattery	батарея
abattoir	бойня
abattoir	скотобойня
abb	обор
abb	уток
abbacy	аббатство
abbe	аббат
abbess	игуменья
abbess	настоятельница
abbesses	игуменье
abbesses	игумене
abbesses	настоятельнице
abbesses	игуменьи
abbesses	настоятельницы
abbey	аббатство
abbey	монастырь
abbeys	аббатства
abbokinase	аббокиназа
abbot	аббат
abbots	аббаты
abbreviate	сократите
abbreviate	сокращать
abbreviated	редуцирован
abbreviated	сокращенный
abbreviates	сокращает
abbreviating	сокращение
abbreviation	аббревиация
abbreviation	аббревиатура
abbreviation	сокращение
